    title,release_year,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
The Patriot,2000,165,"['drama', 'action', 'history', 'war']","['DE', 'US']",,tt0187393,7.2,270231.0,20.438,7.1
Road Trip,2000,93,['comedy'],['US'],,tt0215129,6.5,167670.0,16.989,6.2
The Replacements,2000,118,"['comedy', 'sport']",['US'],,tt0191397,6.6,64087.0,13.465,6.6
Hollow Man,2000,112,"['scifi', 'action', 'horror', 'thriller']","['DE', 'US']",,tt0164052,5.8,130099.0,24.125,5.9
Under Suspicion,2000,110,"['thriller', 'crime', 'drama', 'european']",['US'],,tt0164212,6.5,25432.0,11.459,6.1
Zoolander,2001,90,"['comedy', 'european']","['US', 'DE']",,tt0196229,6.5,260975.0,19.411,6.2
Blow,2001,124,"['drama', 'crime']",['US'],,tt0221027,7.5,255099.0,19.789,7.4
Apocalypse Now Redux,2001,196,"['drama', 'war', 'thriller', 'horror']",['US'],,,,,4.147341,9.8
Heist,2001,107,"['thriller', 'drama', 'action', 'crime', 'european']",['US'],,tt0252503,6.5,36361.0,12.634,6.3
Not Another Teen Movie,2001,89,['comedy'],['US'],,tt0277371,5.7,104604.0,27.273,5.8
Thir13en Ghosts,2001,91,"['thriller', 'horror', 'fantasy']","['CA', 'US']",,tt0245674,5.6,86492.0,46.785,6.2
The One,2001,87,"['scifi', 'thriller', 'action']",['US'],,tt0267804,5.9,91584.0,21.013,6.1
Osmosis Jones,2001,95,"['animation', 'action', 'comedy', 'crime', 'family', 'fantasy', 'scifi']",['US'],,tt0181739,6.3,35711.0,14.652,6.5
I Am Sam,2001,132,['drama'],['US'],,tt0277027,7.6,149082.0,18.529,7.6
Kevin James: Sweat the Small Stuff,2001,42,"['comedy', 'documentation']",['US'],,tt0305727,7.4,1083.0,3.702,7.4
Jackass: The Movie,2002,88,"['action', 'comedy', 'documentation']",['US'],,tt0322802,6.6,92305.0,30.13,6.3
Road to Perdition,2002,117,"['thriller', 'documentation', 'crime', 'drama']",['US'],,tt0257044,7.7,263212.0,17.73,7.4
The Ring,2002,111,"['horror', 'european']","['JP', 'US']",,tt0298130,7.1,341888.0,37.892,6.6
Blade II,2002,117,"['thriller', 'fantasy', 'scifi', 'action', 'horror']",['US'],,tt0187738,6.7,214461.0,50.32,6.5
